ID,  Milk,ChildBby,Vegges,Cereal, Bread,  Rice,  Meat,  Eggs,YogChese, Chips,  Soda, Fruit,  Corn,  Fish, Sauce, Beans,Tortya,SaltNPepper,Scented, Salza
 1,     3,     6,     7,     4,     0,     7,     2,     5,     9,     1,     0,     6,     5,     4,     4,     3,     6,     2,     1,     4
 2,     4,     1,     9,     6,     4,     9,     6,     6,     3,    10,     2,     4,     4,     8,     3,     6,     5,     5,     5,     1
 3,     1,     2,     0,     6,     4,     4,     9,     4,     2,     9,     9,     5,     8,     2,     5,     7,     9,     2,     2,     5
 4,    10,     7,     7,     9,    10,     7,     8,     4,     2,     3,     2,     5,     4,     2,     2,     3,     1,     5,     4,     2
 5,     6,     4,     8,     7,     0,     9,     3,     6,    10,     1,     1,     7,     3,     1,     4,     5,     8,     6,     1,     4
 6,     6,     6,     9,     8,     0,     8,     6,     6,     8,     4,     2,     4,     5,     3,     3,     6,     8,     3,     3,     4
 7,     1,     3,     2,     7,     2,     7,    10,     5,     0,     9,     8,     7,     9,     1,     7,     6,     8,     3,     5,     6
 8,     0,     3,     0,     5,     4,     3,     8,     1,     2,     9,     8,     4,     5,     3,     6,     5,     9,     2,     6,     1
 9,    10,     5,     8,    10,     8,     7,     6,     6,     4,     1,     2,     5,     1,     2,     1,     6,     2,     3,     8,     3
10,     5,     4,     6,     7,     2,     7,     7,     5,     4,     7,     5,     7,     3,     4,     5,     6,     5,     6,     7,     0
11,     8,    10,     7,     8,     7,     7,     6,     6,     0,     0,     0,     4,     4,     1,     2,     5,     1,     5,     5,     2
12,    10,     6,     9,     9,     8,     7,     8,     4,     7,     1,     3,     7,     5,     3,     2,     5,     2,     4,     6,     1
13,     5,     7,     9,     4,     0,     6,     5,     2,     7,     2,     0,     7,     3,     1,     4,     5,     9,     5,     2,     2
14,     3,     6,     9,     6,     0,     6,     5,     5,     8,     3,     0,     4,     4,     1,     3,     7,     7,     7,     1,     2
15,     2,     1,     0,    10,     4,     3,     6,     6,     0,     9,     7,     4,     6,     2,     9,     4,     9,     5,     6,     2
16,     1,     3,     3,     8,     3,     6,     6,     3,     0,     8,     8,     6,     6,     3,     8,     5,     8,     4,     4,     6
17,     4,     3,     2,     9,     1,     6,     9,     6,     1,     9,     7,     8,     6,     1,     6,     4,     8,     5,     8,     6
18,     3,     1,     3,     9,     1,     4,     7,     7,     1,     9,     8,     6,     8,     2,     6,     5,     9,     5,     4,     4
19,     4,     3,     6,     7,     6,     7,     6,     6,     2,     9,     3,     6,     5,     4,     1,     4,     8,     6,     5,     2
20,     2,     4,     3,     9,     4,     6,    10,     7,     1,     9,     6,     5,     7,     2,     5,     4,     7,     5,     4,     7
21,     3,     4,     7,     9,     8,     7,     3,     6,     5,     6,     1,     4,     5,     4,     4,     5,     5,     4,     5,     0
22,     2,     1,     5,    10,     1,     5,     9,     4,     0,     9,     8,     7,     7,     5,     4,     5,     7,     3,     7,     5
23,     2,     4,     7,     9,     4,     7,     9,     4,     4,     8,     1,     6,     3,     5,     0,     6,     6,     5,     5,     3
24,     2,     2,     1,    10,     2,     5,     7,     6,     3,     7,     9,     4,     9,     5,     3,     8,     9,     6,     7,     5
25,     4,     4,     9,     5,     0,     8,     2,     4,     9,     2,     2,     6,     4,     1,     2,     7,     8,     2,     1,     2
26,     2,     1,     0,     8,     0,    10,     7,     5,     2,     6,     9,     5,     8,     1,     4,     3,     7,     3,     5,     5
27,     7,     5,     7,     7,     3,     8,     7,     7,     5,    10,     3,     4,     6,     8,     3,     7,     9,     7,     6,     2
28,     4,     2,     6,     5,     5,     6,     7,     7,     5,    10,     0,     9,     0,     6,     1,     5,     6,     4,     3,     2
29,     3,     2,     3,     9,     2,     6,     7,     5,     0,     9,     8,     4,     5,     1,     7,     2,     8,     6,     2,     8
30,     7,     1,     6,     8,     4,     8,     6,     5,     7,     7,     5,     6,     3,     5,     5,     3,     7,     5,     2,     1
31,     5,     5,     9,     6,     0,     8,     6,     5,     8,     1,     1,     7,     2,     2,     5,     5,     6,     2,     0,     1
32,     7,     3,     6,     9,     6,     8,     6,     5,     8,     8,     3,     6,     7,     5,     3,     4,     6,     7,     7,     2
33,     5,     4,     8,     8,     0,     4,     4,     7,     7,     0,     1,     5,     3,     0,     6,     5,     8,     7,     1,     3
34,    10,     9,     8,     5,     7,     8,     9,     6,     5,     2,     2,     5,     5,     4,     1,     6,     1,     6,     4,     5
35,    10,     9,     7,     7,     8,     8,    10,     6,     6,     1,     3,     2,     5,     2,     3,     5,     0,     5,     5,     3
36,     9,     6,     6,    10,     7,     7,     8,     2,     5,     2,     1,     6,     3,     3,     3,     5,     2,     4,     4,     1
37,     4,     6,     9,     7,     0,     7,     5,     3,     5,     0,     1,     4,     1,     3,     1,     6,     4,     3,     1,     3
38,    10,     7,     9,     7,    10,     6,     8,     4,     6,     6,     2,     6,     7,     3,     2,     3,     0,     5,     5,     2
39,     5,     3,     8,     6,     4,     7,     8,     3,     2,     8,     0,     4,     4,     5,     2,     7,     6,     6,     2,     1
40,     6,     4,     6,     6,     5,     7,     7,     7,     4,     8,     2,     8,     3,     7,     3,     4,     5,     6,     3,     0
41,     2,     4,     1,     8,     3,     7,     7,     5,     0,    10,     8,     4,     7,     2,     6,     6,     7,     8,     4,     4
42,     4,     2,     8,     6,     5,     6,     7,     2,     7,     7,     0,     3,     2,     5,     3,     7,     9,     6,     5,     2
43,     3,     4,     3,     9,     0,     7,     9,     6,     1,     8,    10,     4,     5,     4,     5,     5,    10,     4,     5,     6
44,    10,     9,     7,     9,     7,     6,     8,     5,     4,     1,     2,     6,     4,     5,     3,     5,     1,     5,     7,     2
45,     3,     5,     1,     8,     2,     9,     9,     4,     0,    10,     8,     6,     7,     0,     4,     4,     9,     4,     3,     2
46,    10,     6,     7,     8,     7,    10,    10,     5,     7,     1,     4,     8,     6,     1,     3,     4,     0,     4,     4,     1
47,     2,     1,     0,     8,     2,     8,    10,     6,     1,     8,     8,     4,    10,     0,     6,     5,     6,     3,     5,     5
48,    10,    10,     6,     7,     7,     6,    10,     5,     7,     0,     1,     7,     2,     2,     2,     7,     3,     5,     7,     1
49,     2,     4,     2,     8,     2,     6,     8,     4,     1,     7,     8,     7,     7,     1,     5,     3,     8,     3,     3,     6
50,     1,     5,     4,     9,     2,     7,     7,     4,     1,     6,     8,     3,     7,     3,     6,     4,    10,     6,     4,     9
51,     5,     4,     6,     8,     6,     8,     8,     5,     3,     7,     2,     3,     4,     4,     1,     6,     9,     4,     6,     2
52,     4,     0,     7,     7,     2,     6,     7,     6,     4,     8,     2,     5,     5,     6,     1,     6,     6,     5,     6,     3
53,     5,     2,     7,     7,     3,     8,     5,     5,     4,     8,     2,     5,     2,     9,     1,     6,     7,     4,     6,     2
54,     6,     2,     4,     7,     6,     9,     7,     5,     6,     6,     1,     3,     2,     4,     5,     4,     9,     6,     5,     1
55,     2,     0,     2,     7,     3,     6,     7,     6,     3,     7,     8,     6,     8,     3,     6,     4,     9,     6,     7,     6
56,     1,     2,     3,     9,     1,     5,     4,     3,     2,     9,     7,     6,     7,     0,     7,     5,     9,     7,     6,     5
57,    10,     7,    10,     6,     0,     7,     6,     5,     8,     1,     0,     6,     1,     2,     1,     5,     8,     2,     1,     1
58,     5,     3,     6,     4,     6,     8,     6,     2,     3,     9,     2,     2,     6,     5,     1,     3,     6,     5,     3,     1
59,     2,     2,     0,     8,     2,     6,    10,     3,     0,     6,     6,     3,     9,     3,     3,     8,     7,     6,     6,     5
60,     5,     3,     8,     8,     4,     7,     6,     6,     4,     8,     2,     4,     6,     4,     2,     4,     8,     5,     5,     1
61,     1,     5,     1,     8,     3,     6,     7,     6,     1,    10,     7,     6,     9,     2,     8,     2,     8,     5,     4,     5
62,     4,     2,     2,     9,     4,     7,     8,     5,     1,    10,     7,     5,     6,     0,     6,     4,    10,     5,     6,     4
63,     5,     2,     9,     6,     4,     7,     6,     4,     4,     8,     2,     6,     7,     7,     5,     6,     5,     5,     4,     4
64,    10,     8,     7,     5,     8,     5,     7,     7,     8,     3,     3,     8,     4,     2,     2,     4,     1,     6,     5,     3
65,     9,     9,     7,     8,    10,     7,     7,     4,     2,     2,     0,     5,     3,     1,     3,     6,     1,     6,     7,     2
66,     8,     2,     5,     9,     2,     4,     6,     6,     5,     8,     1,     7,     6,     7,     3,     7,     9,     1,     5,     1
67,     5,     2,     6,     8,     4,     7,     6,     5,     3,     8,     2,     5,     6,     6,     2,     5,     7,     5,     5,     3
68,     6,     6,     8,     7,     0,     7,     3,     4,     9,     1,     2,     7,     3,     1,     3,     7,     8,     2,     0,     2
69,     5,     1,     7,     6,     3,     6,     8,     4,     3,     8,     2,     4,     5,     3,     3,     5,     6,     4,     6,     1
70,     3,     4,     8,     8,     6,     8,     4,     5,     4,     6,     3,     8,     2,     6,     3,     5,     6,     5,     6,     1
71,     3,     5,     6,     4,     1,     6,     5,     7,     7,     3,     2,     6,     4,     4,     1,     7,     9,     1,     1,     1
72,     2,     2,     1,     7,     1,     5,     7,     3,     0,     8,     6,     4,     9,     1,     5,     6,     8,     5,     5,     5
73,    10,     9,     6,     8,     7,     9,     9,     5,     3,     1,     2,     6,     2,     3,     1,     5,     1,     7,     6,     1
74,    10,     6,     6,     9,    10,     5,     8,     5,     8,     0,     4,     4,     2,     0,     1,     6,     2,     5,     6,     1
75,     7,     2,     4,     8,     5,     5,     7,     4,     8,     7,     2,     2,     5,     7,     3,     4,     9,     8,     7,     3
76,    10,     8,     8,     8,     7,     5,     8,     3,     3,     3,     5,     8,     5,     3,     2,     6,     2,     4,     8,     3
77,     9,     6,     6,     7,     8,     5,     8,     3,     6,     3,     6,     6,     4,     2,     4,     5,     2,     6,     5,     1
78,     2,     2,     3,     8,     3,     6,     8,     5,     0,     9,     8,     7,     3,     2,     4,     4,     6,     4,     6,     5
79,     3,     2,     1,     9,     3,     6,     7,     7,     2,     9,     6,     6,     8,     6,     6,     5,     6,     0,     5,     5
80,     1,     7,     9,     8,     0,     9,     6,     4,     8,     3,     0,     8,     4,     1,     4,     2,     8,     3,     1,     1
81,     2,     2,     2,     9,     2,     8,     7,     5,     0,     7,     6,     5,     6,     2,     2,     6,     8,     5,     7,     6
82,     2,     0,     3,     9,     5,     7,     6,     4,     2,     9,     9,     3,     5,     2,     2,     3,     9,     5,     3,     7
83,     3,     3,    10,     7,     6,     5,     5,     6,     7,     9,     4,     4,     2,     5,     3,     7,     8,     5,     7,     3
84,     5,     4,    10,     6,     0,     6,     5,     6,     6,     2,     2,     4,     4,     5,     4,     4,     8,     5,     2,     3
85,     9,     8,     6,     9,     9,     3,    10,     4,     6,     0,     4,     2,     5,     3,     3,     7,     2,     5,     5,     4
86,     5,     2,     9,     5,     5,     6,     7,     2,     3,     8,     3,     5,     4,     4,     4,     7,     8,     3,     5,     2
87,     4,     4,     5,    10,     4,     6,     7,     5,     5,    10,     1,     4,     5,     7,     5,     3,     6,     7,     3,     4
88,     5,     2,     5,     7,     5,     7,     4,     5,     8,     9,     2,     5,     6,     8,     2,     6,     7,     7,     7,     3
89,     5,     8,     7,     3,     0,     5,     4,     7,     6,     0,     3,     6,     3,     2,     2,     4,     7,     4,     0,     4
90,    10,     8,     9,     9,     9,     6,     9,     6,     4,     0,     2,     8,     3,     5,     1,     5,     1,     5,     3,     1
91,    10,     7,     8,     9,     9,     7,    10,     4,     5,     1,     1,     5,     1,     5,     0,     7,     1,     3,     3,     2
92,     1,     2,     3,     9,     3,     6,     6,     3,     1,     7,     9,     5,     8,     4,     6,     5,     9,     4,     7,     6
93,     9,     5,     5,     9,     6,     7,     6,     5,     7,     9,     4,     5,     5,     5,     4,     5,     8,     6,     5,     1
94,    10,     7,     9,     7,     7,     8,     6,     8,     8,     2,     1,     7,     4,     4,     2,     3,     2,     2,     5,     1
95,     8,     9,     6,     7,     8,     7,    10,     3,     5,     1,     3,     4,     4,     2,     2,     4,     1,     5,     5,     1
96,     2,     5,     6,     9,     5,     4,     5,     6,     6,     9,     2,     5,     3,     4,     3,     6,     8,     6,     6,     2
97,     2,     6,     7,     7,     0,     4,     3,     5,     8,     0,     2,     6,     3,     3,     4,     5,     9,     2,     1,     5
98,     5,     4,    10,     6,     0,     7,     5,     5,     7,     1,     2,     5,     2,     5,     2,     7,     7,     6,     0,     1
99,     4,     1,     6,     6,     7,     9,     5,     3,     4,    10,     4,     6,     1,     5,     2,     4,     5,     6,     9,     3
100,    10,     7,     9,     8,     7,     8,     7,     4,     5,     0,     2,     5,     2,     4,     2,     2,     0,     4,     6,     2
101,     0,     2,     2,     8,     1,     6,     7,     4,     1,    10,     8,     3,     9,     1,     6,     7,     8,     7,     5,     3
102,     5,     6,     8,     6,     1,     7,     4,     5,     9,     2,     1,     6,     4,     1,     2,     5,     7,     7,     0,     2
103,     9,     7,     6,     8,     6,     7,    10,     6,     5,     3,     1,     7,     3,     1,     2,     3,     2,     3,     7,     3
104,     2,     2,     2,     8,     2,     5,     7,     2,     1,     8,     9,     3,     8,     2,     8,     6,     9,     5,     5,     6
105,     3,     4,     7,     7,     6,    10,     7,     5,     6,     9,     4,     4,     8,     6,     5,     5,     8,     7,     7,     2
106,     3,     3,     1,     8,     2,     5,     7,     4,     0,     8,     8,     8,     9,     4,     6,     3,     7,     6,     4,     4
107,     2,     1,     2,     8,     4,     6,     4,     6,     2,    10,     9,     4,     9,     2,     3,     6,     9,     4,     5,     4
108,     5,     2,     6,     7,     6,     6,     5,     3,     5,     8,     3,     6,     7,     4,     5,     5,     7,     3,     5,     1
109,     4,     3,     8,     8,     5,     7,     7,     4,     5,     9,     4,     5,     3,     3,     5,     5,     7,     3,     6,     1
110,     9,     8,     8,     8,     9,     6,     8,     4,     5,     2,     2,     5,     5,     1,     3,     7,     0,     2,     5,     1
111,    10,     8,     7,     7,     6,     7,     8,     6,     4,     1,     2,     7,     5,     6,     2,     8,     0,     5,     3,     1
112,     0,     3,     5,    10,     1,     6,     9,     3,     2,    10,     9,     3,     8,     4,     6,     5,     9,     4,     4,     4
113,     3,     3,     9,     6,     3,     8,     7,     6,     6,     8,     2,     2,     4,     3,     6,     9,     8,     3,     5,     2
114,     3,     2,     2,     7,     0,     6,     9,     8,     0,     9,     6,     7,     5,     3,     6,     5,     8,     4,     5,     9
115,     8,     2,     5,    10,     3,     8,     6,     8,     5,     8,     4,     6,     5,     3,     2,     4,     9,     6,     8,     0
116,     9,     8,     5,     9,     8,     7,     7,     7,     5,     4,     0,     7,     4,     1,     5,     4,     0,     5,     5,     3
117,     4,     6,    10,     6,     2,     8,     4,     3,     8,     3,     0,     7,     3,     4,     0,     5,     8,     3,     1,     2
118,     9,     7,     9,     8,     6,     7,    10,     6,     6,     3,     1,     4,     6,     3,     3,     6,     1,     3,     6,     2
119,     2,     4,     0,     7,     1,     9,     8,     5,     1,     8,     9,     3,     7,     4,     8,     3,     9,     5,     5,     8
120,     6,     5,     7,     7,     4,     9,     5,     5,     4,     9,     3,     3,     2,     5,     4,     7,     5,     4,     5,     1
121,     5,     4,    10,     6,     0,     7,     4,     5,     9,     4,     0,     8,     1,     0,     3,     4,     7,     5,     0,     2
122,     7,     2,     7,     9,     7,     8,     7,     2,     3,     9,     2,     7,     3,     6,     3,     4,     6,     3,     7,     2
123,     4,     7,     7,     8,     0,     7,     4,     5,     9,     2,     1,     4,     5,     2,     3,     3,     9,     7,     0,     6
124,     5,     3,     2,     7,     2,     7,     9,     5,     2,     9,    10,     7,     4,     3,     7,     5,     7,     3,     7,     7
125,     2,     3,     0,     8,     3,     4,     7,     5,     3,     9,     9,     4,     8,     6,     7,     5,     7,     5,     6,     5
126,     1,     0,     5,     8,     1,     8,    10,     7,     0,     6,     8,     5,     4,     1,     8,     3,    10,     3,     3,     5
127,     5,     9,     9,     6,     1,     6,     3,     5,     8,     2,     1,     5,     4,     4,     4,     4,     9,     6,     0,     2
128,     9,     7,     8,     7,     7,     9,    10,     5,     6,     3,     1,     7,     6,     4,     1,     7,     1,     6,     5,     3
129,     3,     4,     2,     8,     2,     8,    10,     7,     0,     7,     8,     6,     6,     2,     5,     6,     7,     4,     6,     6
130,     3,     1,     2,     9,     2,     7,     8,     3,     1,     7,     9,     7,     6,     2,     5,     5,     6,     6,     5,     1
131,     4,     2,     7,     7,     3,     7,     4,     5,     5,     8,     2,     8,     4,     4,     4,     6,     8,     5,     4,     0
132,     4,     7,    10,     6,     0,     8,     5,     6,     6,     1,     0,     6,     2,     2,     4,     7,     8,     4,     0,     3
133,     3,     4,     7,     7,     7,     5,     8,     4,     5,     7,     2,     5,     3,     6,     0,     2,     9,     4,     3,     4
134,    10,     5,     7,     7,     9,     8,     6,     7,     4,     0,     0,     6,     4,     2,     1,     7,     1,     3,     9,     2
135,    10,     8,     7,     8,     9,     6,     9,     4,     8,     5,     3,     5,     3,     2,     2,     5,     1,     5,     4,     3
136,     5,     4,     5,     8,     4,     8,     2,     6,     6,     8,     2,     5,     6,     5,     3,     2,     8,     3,     6,     3
137,     4,     2,     7,     7,     5,     7,     6,     6,     5,     8,     2,     4,     3,     6,     2,     3,     7,     5,     3,     2
138,     5,     3,     8,     6,     1,     7,     6,     5,     5,     7,     2,     4,     7,     5,     3,     5,     8,     6,     7,     0
139,     3,     3,     8,     7,     0,     7,     5,     3,     8,     3,     0,     8,     2,     4,     6,     3,     9,     2,     2,     2
140,     6,     1,     1,    10,     2,     4,     7,     5,     2,     9,     8,     4,     8,     4,     3,     5,     5,     4,     7,     9
141,    10,     8,     8,     7,     8,     6,     8,     3,     2,     4,     3,     7,     6,     3,     3,     9,     2,     4,     5,     2
142,    10,     6,     6,     8,     5,     6,     7,     4,     6,     1,     4,     8,     4,     6,     1,     7,     0,     3,     3,     0
143,     1,     0,     3,     7,     2,     6,     8,     7,     2,     9,     8,     6,     8,     1,     6,     4,     7,     4,     5,     7
144,     2,     0,     1,     8,     3,     6,    10,     4,     0,     8,    10,     4,     7,     3,     4,     6,     8,     5,     8,     6
